Unnamed: 0,text,label
22684," A beautifully low-key, heartfelt, small scale story of how music aids us in speaking our inner truth.",1
54392," As the fog closes in, so too does the foreboding, expertly tuned to fraught dissonance by director Sophia Takal, who blends art-house flourishes with such horror conventions as the spotty cellphone reception that signals trouble.",1
72424," The Blind Side wears its heart on its shoulder padding for the entire 128 minutes and eventually, the wholesomeness of the characters, pulling together for a common cause, wins us over.",1
8194," A towering, at times monumentally good central performance from the character actor Roger Allam stands at the heart of The Hippopotamus, but it is entirely alone.",0
227924, There's nothing like hearing a harrowing tale from the people who lived it.,1
75075," A Jesse James bio so gloriously dumb, so vapidly MTV that when its gunslingers die, they probably go to Bootylicious Hill.",0
24095, 'Rejoice and Shout' treats a long century and could have been more incisive and included fuller performance clips by dispensing with head interviews that interrupt often and at length. ,0
125779," As artist and personality, Basquiat is a mesmerizing character with a fascinating story. Tamra Davis has done a wonderful job of sharing her insights into his life, ethos and aesthetic.",1
28171, This tale of an unscrupulous and egocentric billionaire couldn't possibly be timelier.,1
63821," Forages for audience sympathy like a temperamental child begging for attention, giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining.",0
64045," Rebecca Hall's performance is incredible. Her Christine is awkward, full of nervous energy, and impossible to look away from. But Campos missed an opportunity to fully explore Christine's mental-health challenges.",1
133026, One hundred and eleven minutes: That's all the time it takes for a movie to go from indefensible to indispensable.,1
10656," Most of the effects have been done before, and the trick of shaking the camera when a thunder lizard stomps the ground has grown tedious.",0
121753, Young Guns is an unexpectedly entertaining film. It puts new twists into the familiar terrain of the western.,1
84312," High-toned body horror that emotionally and tonally starts on one note and never deviates from it, which becomes rather exhaustingly dull.",1
105344," Guadagnino's latest thrives on its performances and gorgeous scenery, but will probably be an acquired taste.",1
226927, 'A Mighty Heart' should have had the electricity of an American citizen in dire trouble in a foreign land ---- 'Midnight Express' comes to mind.,0
50850, As vampire movies go this touches the cloak hem of masterpiece.,1
89560," It's too bad that so photogenic a star is saddled with such a stodgy biopic, which crams about half an hour's worth of incident into 110 minutes.",0
79277," In the end, it's the unnecessary tricksiness of the film that halts its flow. A crucial human component is missing. ",0
218644," There is a sharp, sublime Almodóvar film trapped inside the blurry outlines of François Ozon's The New Girlfriend, as if aching to get out. ",0
57432," If this is the end of the road for the Man With No Name, it's a memorable, winning way for him to go out.",1
27536," At its core, Pledge is an uncomfortable examination of the conflicts that can arise when desire and power intersect in bro-social situations.",1
41099, The jokes are built almost entirely around references to old black and white horror movies.,0
82183," It moves at a clip, a sprightly relay race between a dozen or so mellifluous performers.",1
216408," Yogi Bear is pretty bad, but it's not apocalyptically horrid--and that's its biggest problem. ",0
76829," Enchanting and dazzling, Coco is a resplendent love letter to Mexico.",1
154347," The good cast of this film promises so much, but they let us down badly in a painfully unfunny waste of time.",0
46298," Ryuhei Kitamura is 37, but he makes films like a 15-year-old fanboy. That is, he has no sense of story, his visual style is basically point-and-shoot, the boys are cool and rebellious and the girls are cute.",0
173011," The movie, of course, is terrible.",0
221369," This movie isn't about dreaming, it's about the dreams inside of the dreams inside of the dreams. It's about how many layers there are to the human psyche, how the demons which haunt our subconscious can inflict a very conscious harm.",1
225296," An exciting, beautifully shot look at a subculture through the eyes of one of its most devoted admirers.",1
61180," Even if...your idea of (w)rapping has more to do with leftover bologna than improvisational street slang, 8 Mile still goes the distance.",1
113159," The Wachowski brothers have tumbled into a matrix of their own with Speed Racer, one which has rendered them completely out of touch with the outside world.",0
183672," ""I may be super, but I'm no hero,"" declares the title character. He is not lying.",1
7158," In the end this campus cavalcade of blood and gore passes the test with a C-plus average, but considering just how much the rest of this year's horror class has failed to do even that this rather middle of the road grade might as well be a sterling 4.0.",1
235017," You have to wonder whether this family film really is aimed at parents and their kids when the first line spoken in the entire movie is 'Oh, bollocks.'",0
234783, An irresistible combination of a rousing good story set on a truly grand scale.,1
226975," Disturbing, horrific yet also intelligent.",1
138414," The truly outrageous idea, that you can use being gravely ill to get sympathy hookups for yourself and your friends - as underlined in the movie's original, better title, ""I'm With Cancer"" - is given short shrift.",0
209455," A lively, visual treat.",1
189419," An empty enterprise that provides a few moments of goofy fun, Mirrors reflects back nothing.",0
142660, A swinging flick.,1
184149," Forty years ago, they couldn't get these songs on the radio; now we can't get them off.",0
232757," Perhaps used to working with animated characters, Minkoff fails to inspire much energy from his cast.",0
39581," Strong and powerful are not in and of themselves attractive qualities when the person who possesses them is utterly selfish and destructive. The slick but formulaic filmmaking is not much of an advantage here, either.",0
28237," The real Perry gradually emerges, and his genius is all the more thrilling for it.",1
184675, Steve Coogan and Rob Brydon work hard to be funny in this ultimate piece of luxuriant fluff requiring a surfeit of viewer indulgence.,0
83279," Neither nicely written, nor nicely acted nor nicely made.",0
105713," There are, unfortunately, precious few surprises here. The Cable Guy is being marketed as a ""dark comedy,"" which I suppose it is, to some extent. Honestly, though, it's just not dark enough.",1
24020, ['The Wolverine'] is a neat trick. But don't get too excited. ,1
38843, A lot of the scenes are stylishly spot-on but don't appear to have the same comedic impact as they did back in the day.,0
121464," Based on its own merits, The A-Team is a sweet little sugar cube of outrageous fun and almost unparalleled silliness. We may not have asked for it, but I'm thankful we've got it.",1
18719," What makes ""If I Stay"" a pleasant surprise is Moretz. She is so convincing here, delivering a performance that overcomes the moments when the film could have easily spiraled into Lifetime movie-level melodrama.",1
20542, The lack of plot and lack of action are fatal flaws.,0
229149, Travolta's warmth and expansiveness effectively amplify and embellish the likable and personable side of Stanton.,1
192374," Boyish and straightforward, Norton's lawyer seems the last person who would be attracted to Flynt's dramatic style. But he's perfect because he's just like us: appalled, dazzled and utterly entertained.",1
247507, October Sky is a sensational character-driven story with a strong narrative and great visual style.,1
38683, Tarsem Singh's sleekly shot sci-fi thriller begins intriguingly but loses its identity.,0
250521," It's occasional magic realism, painful sweetness and unique worldview makes it clearly Coen and is among their best films.",1
69499," When compared with the ambition and achievement of recent animated films, such as Coraline and Toy Story 3, Despicable Me hardly seems to have been worth making, and it's barely worth watching.",0
67770," Deliriously inventive but dramatically empty, Micmacs is like watching a talented kid who doesn't know when to stop showing off",1
127122," One of those stage-to-film adaptations that leave very little doubt that as good as everything is in the film, it was consistently better on stage.",1
210876," Producer Jerry Bruckheimer serves up another five-course meal of cinematic fast food, with all the familiar ingredients in exact measurements and just enough flavor to make them palatable.",1
100024," Mr. Perlmutt ultimately shows that for these drivers, car culture runs deeper than simply winning or losing a race.",1
63017, A complete waste of some wonderful talent.,0
82684," Her Smell brilliantly - and I would say, empathetically - shows the personal toll of the perversion of punk idealism and what happens when subcultures are subsumed into the wider culture.",1
39239," A thriller is incomparably more arresting when it involves plausible people doing plausible things, rather than archetypes co-starring with animation.",1
232485," Amusing as it is, Wag The Dog does what it purports to sat irize -- the bark is real but the teeth aren't.",1
212615," Decent enough to earn a slight recommendation...I just wish the filmmakers had figured out a way to make it all come together better. (Full Content Review for Parents - Profanity, Nudity, etc. - also Available)",1
93762, Some scenes are hilarious; some are too loopy or uncomfortable to provoke laughs; all strive to achieve something genuinely unusual and essentially true.,1
3959," A story like this can't work unless we feel unconditional affection for the heroine, and casting Zellweger achieves that.",1
45171," Lenz presents Kusama's art pieces copiously and admiringly, revealing them as serious works that reflect both dark experiences and a hope for peace. The movie's an optical treat.",1
139730," I like this character, and Kenny is a ""character"" in every sense of the word. The trouble is that Kenny is the film's only character that is truly fleshed out.",0
133538, The film is too gauche to work as a real musical and too flat to work as camp.,0
125107, Dirty Girl isn't nearly as messy or real or raw as it needs to be -- mostly it's just grubby with shopworn familiarity and glammed up with too many pop songs. ,0
200547," Alas, it's a bit too earthbound.",0
202276, Dean Wright's film confirms that there isn't a film that truly depicts the Revolution yet. [Full Review in Spanish],0
79289, Charlie Farmer is not so sunny that he doesn't carry a bit of menace with him - in the end he may be closer to Lonesome Rhodes than Sheriff Andy Taylor. This freak is going to be lighting something up - might as well be a rocket.,1
15980, The way these two talents connect - and strengthen Frears' tenuous tone - is enough to soften any cynic's heart.,1
115384, ...causes chuckles but no big laughs...some of the sexual jokes are so graphic they tend to make one uncomfortable rather than inducing laughter.,0
29049," [Assayas] is genuinely interested in all sides of the debate and isn't looking for answers so much as constantly asking questions. At the same time, Non-Fiction still feels dry and didactic even if it resists a thesis.",1
52847, Manages to be impressively unsettling given the flaws in its foundation.,1
232849, The film skitters along picking up plot lines and then abandoning them . . . with the verve and mystery that atoms show when obeying the more esoteric laws of physics.,0
232724," What matters is how the device is used to push the characters, and The Brass Teapot does that beautifully. Since there is an unlimited source of income, Alice's imagination is really the only limit to how abusive she and John can be.",1
37746," Despite Headshot's flaws, it does have a mesmerizing quality in its illustration of humanity's dark side, social and spiritual. It's a film that coaxes into its world rather than drags.",1
195488," From the moment that Paul Bettany's British accent mysteriously returns, we know there's trouble afoot.",0
206032," Craig and Dench alone are enough to keep it entertaining, superior to the goofy Pierce Brosnan flicks if not nearly as impressive as Casino Royale.",1
130412, ... for the most part the veteran actresses salvage the soapy plot by playing their scenes together with a Gallic toughness.,1
198184," A straightforward watch, the overall result is forgettable.",0
17086," Some of The Paperboy's missteps would be forgivable if Daniels delivered them with any conviction, but he doesn't seem capable of it.",0
37362," Rigorous, impeccable and meaningful, [Manuel] Abramovich's latest film far surpasses his debut. [Full Review in Spanish] ",1
93212, The film is so incessant on bolstering Cave's repute and noble struggle with the art of songwriting that it can't help but seem bloated and self-important.,0
197443," Connoisseurs of bad action-movie dialogue will delight in scenes that have ""DIA"" operatives, dressed in what look like black beekeeper outfits, racing about Vancouver with machine guns slung over their shoulders.",0
107480, Sinks in its own excessive melodrama.,0
159321," For a movie about what's going on under the elaborately staged surface, it's pretty much all surface, right down to its shallow observations about gender fluidity, queer identity and the creative freedom of the alternate persona.",0
207483, A film with a big heart and an even bigger imagination.,1
239046," Everyone is the movie is wonderful, and there is not a moment that is wasted. ",1
151643," Vin Diesel may not run smoothly, but he runs with purpose and conviction, and any line of dialogue processed through him comes out sounding like he believes it, even the sentimental ones.",1
131196, The Florida Project completely turns the American dream and shows us the devastated backyard of Donald Trump's tacky America. [Full review in Spanish],1
122006, Falls neatly into the category of Good Stupid Fun.,1
715," It is, indeed, what a moviegoer should expect from a genre in which an ensemble cast of famous, pretty faces is loosely strung together by an innocuous holiday or, in this case, baby-having.",0
41135, ...so many beautiful explosions here that `Stealth' might work as a fetish film for pyromaniacs.,0
146813," For the most part, the movie's a bland disappointment, on many levels.",0
142444, This is no less than a meditation on the infinite possible variations that a human life can take.,1
65132," ""Oh, not the talent show thing again,"" groans Ashley Jensen's social worker when the youngsters announce their plan. Well, you said it.",0
73124, You are constantly reminded of the old saying: 'The only thing necessary for the triumph of evil is for good men to do nothing.' An unshowy but utterly compelling documentary.,1
194522, a cool breeze on a sweltering day,1
158220, A compassionate and darkly funny shaggy-dog story.,1
142399, It's basically just an excuse for Leonardo DiCaprio to play Jason Bourne while Scott once again turns his technical expertise towards making Morocco look pretty.,0
95138," A headscratcher apt to keep you guessing whether what you're watching is real or simply staged... Overall, mildly amusing, but nothing to write home about.",1
117015," It's a slice-of-life film featuring wonderful folk compositions... and Oscar Isaacs, as Llewyn, takes the starring opportunity and runs with it.",1
237911," It's both straight-faced spy film and sly spy spoof. That's a difficult balancing act, but director James Mangold exactly right.",1
63714," Well, Guy Ritchie sure put his stamp on this bit of British mythology. Lock, stock and flaming arrow.",0
230019," Both Nikaido and her untrained co-star, Mira Billotte, do too good a job at portraying ennui and Chain suffers as much as it succeeds from it.",0
20118," When an 83-year old novel is more feminist than its modern film adaptation, you know there's something wrong.",0
243337," Both San Andreas and Rampage are directed by Brad Peyton, and they share a bland disaster-movie sameness - you get a lot of Johnson flying around in a helicopter, surveying damage, trying to warn people of impending natural disaster.",0
249455, Behind the Music this (thankfully) is not.,1
68262," an impudent, pugnacious comedy that uses the synthetic nature of its stylized homage idiom to be a whip-smart consideration of race, gender, politics, situational ethics, and very, very bad teeth",1
234952," Isle of Dogs boils over, not just with kinesthetic fur, but with visual details, cinematic references, and, in a relatively new development for this filmmaker, topical political ideas.",1
17024, It is truly hard to imagine more effective tinder to ignite a conversation than The Tale.,1
204442," This is frankly disposable entertainment, but to some degree it's a welcome parody of earnest superhero movies like those directed by Christopher Nolan, which for all their self-importance are fundamentally just as silly. ",0
56978," The loony-goony visuals are still in play, but there's a sympathy for the audience, a desire to put things to good and even meaningful use. ",1
44677," The movie's story is conventional in shape, but it has passages of crazy exhilaration and brilliant invention.",1
142955, Bale deserved an Oscar nomination for this.,1
67093," Despite the faults of the text, the central performance provides a heartbreaking, multifaceted portrayal of a black female artist yearning for respect, haunted by past mistakes, and tormented by addiction.",1
121376," It's not great cinema -- it's pretty much just decent TV -- but Cranston's fantastic, and it's a story that's certainly worth telling.",1
134392," It is a wildly self-indulgent fantasy adventure that should have gone straight to Youtube, where all 'Dad-thinks-he's-cool-with-a-camera' home videos belong. ",0
14634," By uniting the measured voices of human rights advocates and impassioned pleas from the Armenian diaspora, the filmmakers lay out the importance of a few words in the long quest for justice.",1
46217, A senseless outrage is handled with sensitivity in a stirring film that doesn't need an A-list hero.,1
217114," Memorable images, conversations and a Willem Dafoe performace as artful as the master he portrays highlight one more special film on the life and times of Vincent Van Gogh.",1
39864, A good slice of storybook fun with some funny dark twists...,1
52162," A cautionary tale of celebrity culture and the ruinous power of the media, and a gentle reminder that society really should look after people like Winehouse as cultural treasures, rather than tear them down for the sake of tomorrow's tabloid headlines.",1
191709, ...there's not a moment of fright or a modicum of suspense in any of its 101 minutes.,0
